Numer of labeled samples:12015   AUC:0.877
Numer of labeled samples:12237   AUC:0.870
Numer of labeled samples:20689   AUC:0.888
Numer of labeled samples:20097   AUC:0.882
Numer of labeled samples:23745   AUC:0.883
Numer of labeled samples:23586   AUC:0.900
Numer of labeled samples:26449   AUC:0.902
Numer of labeled samples:25708   AUC:0.886
Numer of labeled samples:27861   AUC:0.902
Numer of labeled samples:27796   AUC:0.907
Numer of labeled samples:27922   AUC:0.915
Numer of labeled samples:28949   AUC:0.906
Numer of labeled samples:29078   AUC:0.917
Numer of labeled samples:26593   AUC:0.919
Numer of labeled samples:26749   AUC:0.923
Numer of labeled samples:27032   AUC:0.917
Numer of labeled samples:26755   AUC:0.930
Numer of labeled samples:26981   AUC:0.921
Numer of labeled samples:27662   AUC:0.925
Numer of labeled samples:26056   AUC:0.932
Numer of labeled samples:24499   AUC:0.934
Numer of labeled samples:26073   AUC:0.934
Numer of labeled samples:25792   AUC:0.934
Numer of labeled samples:23819   AUC:0.931
Numer of labeled samples:22449   AUC:0.938
Numer of labeled samples:25301   AUC:0.943
Numer of labeled samples:23549   AUC:0.942
Numer of labeled samples:22879   AUC:0.939
Numer of labeled samples:23488   AUC:0.943
Numer of labeled samples:22776   AUC:0.941
Numer of labeled samples:22235   AUC:0.944
Numer of labeled samples:24426   AUC:0.938
Numer of labeled samples:22225   AUC:0.949
Numer of labeled samples:21908   AUC:0.943
Numer of labeled samples:21659   AUC:0.950
Numer of labeled samples:22215   AUC:0.952
Numer of labeled samples:21340   AUC:0.955
Numer of labeled samples:20957   AUC:0.955
Numer of labeled samples:20786   AUC:0.959
Numer of labeled samples:21702   AUC:0.956
Numer of labeled samples:20714   AUC:0.958
Numer of labeled samples:19941   AUC:0.959
Numer of labeled samples:20215   AUC:0.960
Numer of labeled samples:20276   AUC:0.956
Numer of labeled samples:20044   AUC:0.958
Numer of labeled samples:19763   AUC:0.960
Numer of labeled samples:20032   AUC:0.959
Numer of labeled samples:19840   AUC:0.957
Numer of labeled samples:19860   AUC:0.959
Numer of labeled samples:20300   AUC:0.960
Numer of labeled samples:20114   AUC:0.963
Numer of labeled samples:19330   AUC:0.960
Numer of labeled samples:19406   AUC:0.964
Numer of labeled samples:19551   AUC:0.967
Numer of labeled samples:19596   AUC:0.965
Numer of labeled samples:19711   AUC:0.966
Numer of labeled samples:19097   AUC:0.967
Numer of labeled samples:19742   AUC:0.960
Numer of labeled samples:20011   AUC:0.960
Numer of labeled samples:19311   AUC:0.965
Numer of labeled samples:19506   AUC:0.968
Numer of labeled samples:19030   AUC:0.966
Numer of labeled samples:18715   AUC:0.969
Numer of labeled samples:18866   AUC:0.971
Numer of labeled samples:18330   AUC:0.971
Numer of labeled samples:18447   AUC:0.971
Numer of labeled samples:18711   AUC:0.974
Numer of labeled samples:18474   AUC:0.972
Numer of labeled samples:18495   AUC:0.972
Numer of labeled samples:18644   AUC:0.973
Numer of labeled samples:18600   AUC:0.973
Numer of labeled samples:18763   AUC:0.973
Numer of labeled samples:19160   AUC:0.973
Numer of labeled samples:18903   AUC:0.973
Numer of labeled samples:18624   AUC:0.972
Numer of labeled samples:17594   AUC:0.973
Numer of labeled samples:17658   AUC:0.971
Numer of labeled samples:18414   AUC:0.974
Numer of labeled samples:18264   AUC:0.975
Numer of labeled samples:17517   AUC:0.974
Numer of labeled samples:17693   AUC:0.976
Numer of labeled samples:15485   AUC:0.977
Numer of labeled samples:14504   AUC:0.977
Numer of labeled samples:15004   AUC:0.978
Numer of labeled samples:14317   AUC:0.980
Numer of labeled samples:14365   AUC:0.980
Numer of labeled samples:14077   AUC:0.976
Numer of labeled samples:14157   AUC:0.980
Numer of labeled samples:14227   AUC:0.978
Numer of labeled samples:14125   AUC:0.980
Numer of labeled samples:14084   AUC:0.980
Numer of labeled samples:13934   AUC:0.981
Numer of labeled samples:13855   AUC:0.980
Numer of labeled samples:13822   AUC:0.978
Numer of labeled samples:13838   AUC:0.981
Numer of labeled samples:13742   AUC:0.978
Numer of labeled samples:13797   AUC:0.981
Numer of labeled samples:13771   AUC:0.980
Numer of labeled samples:13748   AUC:0.981
Numer of labeled samples:13711   AUC:0.978
Numer of labeled samples:14023   AUC:0.978
Numer of labeled samples:13753   AUC:0.980
Numer of labeled samples:13718   AUC:0.981
Numer of labeled samples:13791   AUC:0.982
Numer of labeled samples:13906   AUC:0.983
Numer of labeled samples:13850   AUC:0.982
Numer of labeled samples:13721   AUC:0.982
Numer of labeled samples:13713   AUC:0.982
Numer of labeled samples:13675   AUC:0.981
Numer of labeled samples:13586   AUC:0.981
Numer of labeled samples:13718   AUC:0.981
Numer of labeled samples:13647   AUC:0.983
Numer of labeled samples:13711   AUC:0.982
Numer of labeled samples:13716   AUC:0.982
Numer of labeled samples:13699   AUC:0.984
Numer of labeled samples:13806   AUC:0.985
Numer of labeled samples:13875   AUC:0.983
Numer of labeled samples:13666   AUC:0.982
Numer of labeled samples:13834   AUC:0.983
Numer of labeled samples:13583   AUC:0.984
Numer of labeled samples:13680   AUC:0.983
Numer of labeled samples:13755   AUC:0.981
Numer of labeled samples:13730   AUC:0.983
Numer of labeled samples:13611   AUC:0.983
Numer of labeled samples:13809   AUC:0.983
Numer of labeled samples:13758   AUC:0.985
Numer of labeled samples:13773   AUC:0.984
Numer of labeled samples:13751   AUC:0.982
Numer of labeled samples:13668   AUC:0.982
Numer of labeled samples:13769   AUC:0.984
Numer of labeled samples:13740   AUC:0.984
Numer of labeled samples:13747   AUC:0.984
Numer of labeled samples:13724   AUC:0.984
Numer of labeled samples:13640   AUC:0.982
Numer of labeled samples:13614   AUC:0.984
Numer of labeled samples:13660   AUC:0.984
Numer of labeled samples:13935   AUC:0.984
Numer of labeled samples:13761   AUC:0.984
Numer of labeled samples:13837   AUC:0.984
Numer of labeled samples:13729   AUC:0.984
Numer of labeled samples:13691   AUC:0.984
Numer of labeled samples:13602   AUC:0.982
Numer of labeled samples:13735   AUC:0.985
Numer of labeled samples:13667   AUC:0.986
Numer of labeled samples:13647   AUC:0.986
Numer of labeled samples:13718   AUC:0.984
Numer of labeled samples:13652   AUC:0.984
Numer of labeled samples:13766   AUC:0.984
Numer of labeled samples:13764   AUC:0.984
Numer of labeled samples:13698   AUC:0.983
Numer of labeled samples:13798   AUC:0.984
Numer of labeled samples:13673   AUC:0.980
Numer of labeled samples:13787   AUC:0.983
Numer of labeled samples:13738   AUC:0.982
Numer of labeled samples:13836   AUC:0.985
Numer of labeled samples:13728   AUC:0.985
Numer of labeled samples:13769   AUC:0.984
Numer of labeled samples:13766   AUC:0.983
Numer of labeled samples:13813   AUC:0.986
Numer of labeled samples:13750   AUC:0.986
Numer of labeled samples:13837   AUC:0.985
Numer of labeled samples:13875   AUC:0.986
Numer of labeled samples:13886   AUC:0.985
Numer of labeled samples:13793   AUC:0.985
Numer of labeled samples:13834   AUC:0.986
Numer of labeled samples:13806   AUC:0.986
Numer of labeled samples:13812   AUC:0.987
Numer of labeled samples:13819   AUC:0.985
Numer of labeled samples:13749   AUC:0.985
Numer of labeled samples:13861   AUC:0.988
Numer of labeled samples:13821   AUC:0.987
Numer of labeled samples:13754   AUC:0.987
Numer of labeled samples:13890   AUC:0.987
Numer of labeled samples:13814   AUC:0.987
Numer of labeled samples:13860   AUC:0.986
Numer of labeled samples:13837   AUC:0.984
Numer of labeled samples:13881   AUC:0.985
Numer of labeled samples:13817   AUC:0.985
Numer of labeled samples:13762   AUC:0.985
Numer of labeled samples:13801   AUC:0.986
Numer of labeled samples:13916   AUC:0.986
Numer of labeled samples:13759   AUC:0.984
Numer of labeled samples:13795   AUC:0.985
Numer of labeled samples:13834   AUC:0.984
Numer of labeled samples:13853   AUC:0.987
Numer of labeled samples:13853   AUC:0.987
Numer of labeled samples:13837   AUC:0.985
Numer of labeled samples:13825   AUC:0.987
Numer of labeled samples:13970   AUC:0.987
Numer of labeled samples:13853   AUC:0.987
Numer of labeled samples:13878   AUC:0.984
Numer of labeled samples:13789   AUC:0.985
Numer of labeled samples:13947   AUC:0.988
Numer of labeled samples:13894   AUC:0.986
Numer of labeled samples:13824   AUC:0.985
Numer of labeled samples:13844   AUC:0.987
Numer of labeled samples:13889   AUC:0.985
Numer of labeled samples:13867   AUC:0.985
Numer of labeled samples:13838   AUC:0.987
Numer of labeled samples:13917   AUC:0.987
Numer of labeled samples:13878   AUC:0.988
Numer of labeled samples:13882   AUC:0.986
Numer of labeled samples:13909   AUC:0.987
Numer of labeled samples:13875   AUC:0.988
Numer of labeled samples:13890   AUC:0.988
Numer of labeled samples:13829   AUC:0.986
Numer of labeled samples:13908   AUC:0.986
Numer of labeled samples:13918   AUC:0.985
Numer of labeled samples:13917   AUC:0.988
Numer of labeled samples:13889   AUC:0.988
Numer of labeled samples:13875   AUC:0.986
Numer of labeled samples:13874   AUC:0.987
Numer of labeled samples:13942   AUC:0.989
Numer of labeled samples:13952   AUC:0.988
Numer of labeled samples:13975   AUC:0.988
Numer of labeled samples:13851   AUC:0.989
Numer of labeled samples:13856   AUC:0.987
Numer of labeled samples:13885   AUC:0.987
Numer of labeled samples:13956   AUC:0.986
Numer of labeled samples:13873   AUC:0.985
Numer of labeled samples:13890   AUC:0.986
Numer of labeled samples:13951   AUC:0.988
Numer of labeled samples:13975   AUC:0.990
Numer of labeled samples:13953   AUC:0.989
Numer of labeled samples:14011   AUC:0.985
Numer of labeled samples:13957   AUC:0.988
Numer of labeled samples:13994   AUC:0.987
Numer of labeled samples:13982   AUC:0.990
Numer of labeled samples:13924   AUC:0.987
Numer of labeled samples:13980   AUC:0.987
Numer of labeled samples:13927   AUC:0.988
Numer of labeled samples:13904   AUC:0.987
Numer of labeled samples:13879   AUC:0.988
Numer of labeled samples:13890   AUC:0.988
Numer of labeled samples:13932   AUC:0.987
