Epoch:0   Accuracy:3.94
Epoch:1   Accuracy:5.89
Epoch:2   Accuracy:6.69
Epoch:3   Accuracy:7.53
Epoch:4   Accuracy:8.04
Epoch:5   Accuracy:8.80
Epoch:6   Accuracy:8.99
Epoch:7   Accuracy:9.10
Epoch:8   Accuracy:10.38
Epoch:9   Accuracy:9.46
Epoch:10   Accuracy:10.25
Epoch:11   Accuracy:10.55
Epoch:12   Accuracy:10.89
Epoch:13   Accuracy:11.27
Epoch:14   Accuracy:11.59
Epoch:15   Accuracy:11.77
Epoch:16   Accuracy:12.42
Epoch:17   Accuracy:12.42
Epoch:18   Accuracy:12.16
Epoch:19   Accuracy:13.27
Epoch:20   Accuracy:12.89
Epoch:21   Accuracy:13.27
Epoch:22   Accuracy:13.20
Epoch:23   Accuracy:13.23
Epoch:24   Accuracy:13.05
Epoch:25   Accuracy:13.24
Epoch:26   Accuracy:12.86
Epoch:27   Accuracy:13.87
Epoch:28   Accuracy:13.63
Epoch:29   Accuracy:12.67
Epoch:30   Accuracy:14.57
Epoch:31   Accuracy:15.01
Epoch:32   Accuracy:14.20
Epoch:33   Accuracy:14.38
Epoch:34   Accuracy:14.58
Epoch:35   Accuracy:14.35
Epoch:36   Accuracy:14.70
Epoch:37   Accuracy:14.09
Epoch:38   Accuracy:14.59
Epoch:39   Accuracy:13.43
Epoch:40   Accuracy:13.46
Epoch:41   Accuracy:14.08
Epoch:42   Accuracy:14.31
Epoch:43   Accuracy:13.49
Epoch:44   Accuracy:13.62
Epoch:45   Accuracy:13.85
Epoch:46   Accuracy:12.45
Epoch:47   Accuracy:13.12
Epoch:48   Accuracy:14.62
Epoch:49   Accuracy:14.64
Epoch:50   Accuracy:14.71
Epoch:51   Accuracy:15.38
Epoch:52   Accuracy:15.04
Epoch:53   Accuracy:14.88
Epoch:54   Accuracy:16.26
Epoch:55   Accuracy:15.63
Epoch:56   Accuracy:15.47
Epoch:57   Accuracy:16.42
Epoch:58   Accuracy:15.99
Epoch:59   Accuracy:16.03
Epoch:60   Accuracy:15.06
Epoch:61   Accuracy:15.63
Epoch:62   Accuracy:15.15
Epoch:63   Accuracy:15.32
Epoch:64   Accuracy:15.43
Epoch:65   Accuracy:15.38
